Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
LILA,Liberty Global plc,34.34,$30.04B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lila,
LILAK,Liberty Global plc,34.92,$30.54B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lilak,
LVNTA,Liberty Interactive Corporation,42.39,$25.55B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvnta,
LVNTB,Liberty Interactive Corporation,42,$25.32B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/lvntb,
QVCA,Liberty Interactive Corporation,28.185,$16.99B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvca,
QVCB,Liberty Interactive Corporation,27.95,$16.85B,n/a,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/qvcb,
LMCA,Liberty Media Corporation,38.8,$13.02B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmca,
LMCB,Liberty Media Corporation,39.06,$13.11B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmcb,
LMCK,Liberty Media Corporation,37.56,$12.6B,n/a,Consumer Services,Broadcasting,http://www.nasdaq.com/symbol/lmck,
TAX,Liberty Tax Inc.,22.58,$288.54M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/tax,
LTRPA,Liberty TripAdvisor Holdings Inc.,30.65,$2.29B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpa,
LTRPB,Liberty TripAdvisor Holdings Inc.,24.84,$1.86B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/ltrpb,
LPNT,LifePoint Health Inc.,71.85,$3.19B,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/lpnt,
LCUT,Lifetime Brands Inc.,15.25,$213.5M,1991,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/lcut,
LFVN,Lifevantage Corporation,0.8,$78.03M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lfvn,
LWAY,Lifeway Foods Inc.,11.465,$187.41M,n/a,Consumer Non-Durables,Packaged Foods,http://www.nasdaq.com/symbol/lway,
LGND,Ligand Pharmaceuticals Incorporated,93.08,$1.85B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/lgnd,
LTBR,Lightbridge Corporation,1.02,$18.44M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/ltbr,
LPTH,LightPath Technologies Inc.,1.56,$23.77M,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/lpth,
LLEX,Lilis Energy Inc.,0.605,$16.59M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/llex,
LIME,Lime Energy Co.,3.28,$31.37M,n/a,Basic Industries,Engineering & Construction,http://www.nasdaq.com/symbol/lime,
