Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,
TFSC,1347 Capital Corp.,9.75,$57.99M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfsc,
TFSCR,1347 Capital Corp.,0.3,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscr,
TFSCU,1347 Capital Corp.,10.21,$42.68M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscu,
TFSCW,1347 Capital Corp.,0.28,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/tfscw,
PIH,1347 Property Insurance Holdings Inc.,7.24,$45.36M,2014,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/pih,
FLWS,1-800 FLOWERS.COM Inc.,9.64,$625.93M,1999,Consumer Services,Other Specialty Stores,http://www.nasdaq.com/symbol/flws,
FCTY,1st Century Bancshares Inc,6.94,$71.63M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fcty,
FCCY,1st Constitution Bancorp (NJ),11.7,$88.3M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,30.82,$977.03M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/srce,
VNET,21Vianet Group Inc.,20.24,$1.75B,2011,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/vnet,
TWOU,2U Inc.,24.64,$1.02B,2014,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/twou,
DGLD,3X Inverse Gold ETN Velocityshares,71.4,$9.71M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dgld,
DSLV,3X Inverse Silver ETN Velocityshares,49.37,$27.99M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/dslv,
UGLD,3X Long Gold ETN Velocityshares,10.2,$10.05M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/ugld,
USLV,3X Long Silver ETN Velocityshares,16,$31.4M,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/uslv,
JOBS,51job Inc.,32.06,$1.91B,2004,Technology,Diversified Commercial Services,http://www.nasdaq.com/symbol/jobs,
SIXD,6D Global Technologies Inc.,2.9,$226.92M,n/a,Consumer Services,Professional Services,http://www.nasdaq.com/symbol/sixd,
CAFD,8point3 Energy Partners LP,12.9,$915.93M,2015,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/cafd,
EGHT,8x8 Inc,9.03,$800.04M,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eght,
AVHI,A V Homes Inc.,12.55,$280.36M,n/a,Capital Goods,Homebuilding,http://www.nasdaq.com/symbol/avhi,
SHLM,A. Schulman Inc.,37.97,$1.11B,1972,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/shlm,
AAON,AAON Inc.,21.22,$1.15B,n/a,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aaon,
ABAX,ABAXIS Inc.,44.61,$1.01B,1992,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/abax,
ABY,Abengoa Yield plc,19.74,$1.98B,2014,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/aby,
ABGB,Abengoa S.A.,5.16,$866.64M,2013,Consumer Services,Military/Government/Technical,http://www.nasdaq.com/symbol/abgb,
ABEO,Abeona Therapeutics Inc.,4.15,$135.67M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,1.58,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/abeow,
ABMD,ABIOMED Inc.,93.11,$3.92B,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/abmd,
AXAS,Abraxas Petroleum Corporation,1.8,$191.13M,n/a,Energy,Oil & Gas Production,http://www.nasdaq.com/symbol/axas,
ACTG,Acacia Research Corporation,9.15,$464.27M,n/a,Miscellaneous,Multi-Sector Companies,http://www.nasdaq.com/symbol/actg,
ACHC,Acadia Healthcare Company Inc.,63.51,$4.55B,n/a,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,33.69,$3.39B,1985,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acad,
ACST,Acasti Pharma Inc.,3,$31.98M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acst,
AXDX,Accelerate Diagnostics Inc.,16.75,$749.11M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,24.4,$806.64M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,21.08,$221.75M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,5.52,$440.19M,2007,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/aray,
VXDN,AccuShares Spot CBOE VIX Down Shares,2.2901,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxdn,
VXUP,AccuShares Spot CBOE VIX Up Shares,2.08,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/vxup,
ACRX,AcelRx Pharmaceuticals Inc.,3.72,$165.07M,2011,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrx,
ACET,Aceto Corporation,29.87,$876.87M,n/a,Health Care,Other Pharmaceuticals,http://www.nasdaq.com/symbol/acet,
AKAO,Achaogen Inc.,5.72,$103.62M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akao,
ACHN,Achillion Pharmaceuticals Inc.,7.53,$1.03B,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/achn,
ACIW,ACI Worldwide Inc.,23.23,$2.74B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/aciw,
ACRS,Aclaris Therapeutics Inc.,14.57,$282.77M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acrs,
ACNB,ACNB Corporation,21.68,$130.73M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/acnb,
ACOR,Acorda Therapeutics Inc.,30.79,$1.32B,2006,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/acor,
ACTS,Actions Semiconductor Co. Ltd.,1.66,$97.06M,2005,Technology,Semiconductors,http://www.nasdaq.com/symbol/acts,
ACPW,Active Power Inc.,1.46,$33.74M,2000,Public Utilities,Electric Utilities: Central,http://www.nasdaq.com/symbol/acpw,
ATVI,Activision Blizzard Inc,34.17,$24.91B,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/atvi,
ACTA,Actua Corporation,13.4,$546.98M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acta,
ACUR,Acura Pharmaceuticals Inc.,2.8,$6.61M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/acur,
ACXM,Acxiom Corporation,21.62,$1.69B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/acxm,
ADMS,Adamas Pharmaceuticals Inc.,14.89,$274.03M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,3.96,$53.19M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,7.28,$515.32M,2015,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,33.85,$376.02M,2009,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/adus,
AEY,ADDvantage Technologies Group Inc.,2.35,$23.67M,n/a,Consumer Services,Office Equipment/Supplies/Services,http://www.nasdaq.com/symbol/aey,
ADEP,Adept Technology Inc.,12.99,$189.65M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/adep,
IOTS,Adesto Technologies Corporation,n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/iots,
ADMA,ADMA Biologics Inc,9.82,$105.13M,n/a,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/adma,
ADBE,Adobe Systems Incorporated,88.67,$44.23B,1986,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/adbe,
ADTN,ADTRAN Inc.,14.82,$739.94M,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn,
ADRO,Aduro Biotech Inc.,22.9999,$1.43B,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adro,
AEIS,Advanced Energy Industries Inc.,27.55,$1.13B,1995,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeis,
AMD,Advanced Micro Devices Inc.,1.94,$1.51B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/amd,
ADXS,Advaxis Inc.,10.68,$356.35M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxs,
ADXSW,Advaxis Inc.,7.5,n/a,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adxsw,
MULT,AdvisorShares Sunrise Global Multi-Strategy ETF,22.95,$2.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mult,
YPRO,AdvisorShares YieldPro ETF,23.15,$32.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ypro,
AEGR,Aegerion Pharmaceuticals Inc.,15.29,$437.61M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aegr,
AEGN,Aegion Corp,18.46,$668.96M,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/aegn,
AEHR,Aehr Test Systems,2.3,$29.87M,1997,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/aehr,
AMTX,Aemetis Inc,2.65,$51.6M,n/a,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amtx,
AEPI,AEP Industries Inc.,71.16,$363.1M,1986,Capital Goods,Specialty Chemicals,http://www.nasdaq.com/symbol/aepi,
AERI,Aerie Pharmaceuticals Inc.,21.22,$545.19M,2013,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/aeri,
AVAV,AeroVironment Inc.,21.34,$502.33M,2007,Capital Goods,Aerospace,http://www.nasdaq.com/symbol/avav,
AEZS,AEterna Zentaris Inc.,0.0562,$27.68M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aezs,
AEMD,Aethlon Medical Inc.,6.6701,$50.76M,n/a,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/aemd,
AFMD,Affimed N.V.,7.06,$209.92M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/afmd,
AFFX,Affymetrix Inc.,8.89,$709.6M,1996,Capital Goods,Biotechnology: Laboratory Analytical Instruments,http://www.nasdaq.com/symbol/affx,
AGEN,Agenus Inc.,5.02,$423.22M,2000,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/agen,
AGRX,Agile Therapeutics Inc.,7.28,$162.14M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agrx,
AGYS,Agilysys Inc.,11.4,$261.32M,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/agys,
AGIO,Agios Pharmaceuticals Inc.,70.94,$2.66B,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/agio,
AGFS,AgroFresh Solutions Inc.,7.91,$395.03M,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfs,
AGFSW,AgroFresh Solutions Inc.,1.98,n/a,2014,Finance,Business Services,http://www.nasdaq.com/symbol/agfsw,
AIMT,Aimmune Therapeutics Inc.,16.27,$686.26M,2015,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aimt,
AIRM,Air Methods Corporation,37.82,$1.49B,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/airm,
AIRT,Air T Inc.,19.4999,$46.26M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/airt,
ATSG,Air Transport Services Group Inc,9.49,$615.52M,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/atsg,
AMCN,AirMedia Group Inc,5.59,$356.82M,2007,Technology,Advertising,http://www.nasdaq.com/symbol/amcn,
AIXG,Aixtron SE,5.85,$659.31M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aixg,
AKAM,Akamai Technologies Inc.,70.95,$12.67B,1999,Miscellaneous,Business Services,http://www.nasdaq.com/symbol/akam,
AKTX,Akari Therapeutics Plc,18.5499,$10.32M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aktx,
AKBA,Akebia Therapeutics Inc.,10.63,$307.02M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akba,
AKER,Akers Biosciences Inc,3.49,$17.96M,2014,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,http://www.nasdaq.com/symbol/aker,
AKRX,Akorn Inc.,29.35,$3.36B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/akrx,
ALRM,Alarm.com Holdings Inc.,12.45,$567.31M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/alrm,
ALSK,Alaska Communications Systems Group Inc.,2.44,$122.97M,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/alsk,
AMRI,Albany Molecular Research Inc.,17.7,$627.52M,1999,Health Care,Biotechnology: Commercial Physical & Biological Resarch,http://www.nasdaq.com/symbol/amri,
ABDC,Alcentra Capital Corp.,12.08,$163.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abdc,
ADHD,Alcobra Ltd.,6.28,$133M,2013,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/adhd,
ALDR,Alder BioPharmaceuticals Inc.,28.91,$1.26B,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldr,
ALDX,Aldeyra Therapeutics Inc.,6.36,$61.77M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/aldx,
ALXN,Alexion Pharmaceuticals Inc.,160.72,$36.35B,1996,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxn,
ALXA,Alexza Pharmaceuticals Inc.,1.26,$24.5M,2006,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alxa,
ALCO,Alico Inc.,44.06,$364.88M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/alco,
ALGN,Align Technology Inc.,60.65,$4.86B,2001,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/algn,
ALIM,Alimera Sciences Inc.,2.86,$127.02M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alim,
ALKS,Alkermes plc,61.33,$9.16B,1991,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alks,
ABTX,Allegiance Bancshares Inc.,22.5,$279.52M,2015,Finance,Major Banks,http://www.nasdaq.com/symbol/abtx,
ALGT,Allegiant Travel Company,214.75,$3.65B,2006,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/algt,
AFOP,Alliance Fiber Optic Products Inc.,17.89,$320.51M,2000,Technology,Semiconductors,http://www.nasdaq.com/symbol/afop,
AIQ,Alliance HealthCare Services Inc.,10.01,$107.61M,2001,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/aiq,
AHGP,Alliance Holdings GP L.P.,33.43,$2B,2006,Energy,Coal Mining,http://www.nasdaq.com/symbol/ahgp,
ARLP,Alliance Resource Partners L.P.,22.4,$1.66B,1999,Energy,Coal Mining,http://www.nasdaq.com/symbol/arlp,
AHPI,Allied Healthcare Products Inc.,1.4,$11.24M,1992,Health Care,Industrial Specialties,http://www.nasdaq.com/symbol/ahpi,
AMOT,Allied Motion Technologies Inc.,20.22,$187.86M,n/a,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/amot,
ALQA,Alliqua BioMedical Inc.,3.66,$101.27M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/alqa,
ALLT,Allot Communications Ltd.,5.54,$184.82M,2006,Technology,Computer Communications Equipment,http://www.nasdaq.com/symbol/allt,
MDRX,Allscripts Healthcare Solutions Inc.,13.25,$2.5B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/mdrx,
AFAM,Almost Family Inc,40.86,$401.25M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/afam,
ALNY,Alnylam Pharmaceuticals Inc.,84.91,$7.18B,2004,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/alny,
AOSL,Alpha and Omega Semiconductor Limited,8.8,$201.71M,2010,Technology,Semiconductors,http://www.nasdaq.com/symbol/aosl,
GOOG,Alphabet Inc.,662.2,$453.96B,2004,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/goog,
GOOGL,Alphabet Inc.,695.32,$476.67B,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/googl,
SMCP,AlphaMark Actively Managed Small Cap ETF,22.8,$23.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp,
ATEC,Alphatec Holdings Inc.,0.37,$37.04M,2006,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atec,
ALTR,Altera Corporation,52.73,$15.95B,1988,Technology,Semiconductors,http://www.nasdaq.com/symbol/altr,
ASPS,Altisource Portfolio Solutions S.A.,31.98,$599.19M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/asps,
AIMC,Altra Industrial Motion Corp.,24.7,$649.85M,2006,Capital Goods,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aimc,
AMAG,AMAG Pharmaceuticals Inc.,39.35,$1.36B,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amag,
AMRN,Amarin Corporation PLC,1.99,$270.13M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amrn,
AMRK,A-Mark Precious Metals Inc.,13.36,$93.17M,n/a,Basic Industries,Other Specialty Stores,http://www.nasdaq.com/symbol/amrk,
AYA,Amaya Inc.,22.81,$3.04B,n/a,Technology,Computer Software: Programming Data Processing,http://www.nasdaq.com/symbol/aya,
AMZN,Amazon.com Inc.,570.76,$266.95B,1997,Consumer Services,Catalog/Specialty Distribution,http://www.nasdaq.com/symbol/amzn,
AMBC,Ambac Financial Group Inc.,16,$720.33M,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambc,
AMBCW,Ambac Financial Group Inc.,7.67,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/ambcw,
AMBA,Ambarella Inc.,56.39,$1.79B,2012,Technology,Semiconductors,http://www.nasdaq.com/symbol/amba,
EPAX,Ambassadors Group Inc.,2.73,$46.79M,n/a,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/epax,
AMCX,AMC Networks Inc.,73.95,$5.35B,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/amcx,
DOX,Amdocs Limited,58.54,$9B,n/a,Technology,EDP Services,http://www.nasdaq.com/symbol/dox,
AMDA,Amedica Corporation,0.28,$18.41M,2014,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/amda,
AMED,Amedisys Inc,39.78,$1.34B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amed,
UHAL,Amerco,397.37,$7.79B,n/a,Consumer Services,Rental/Leasing Companies,http://www.nasdaq.com/symbol/uhal,
ASBI,Ameriana Bancorp,23.23,$70.39M,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/asbi,
ATAX,America First Multifamily Investors L.P.,5.44,$327.78M,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/atax,
AMOV,America Movil S.A.B. de C.V.,17.31,$58.44B,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/amov,
AAL,American Airlines Group Inc.,43.71,$29.37B,n/a,Transportation,Air Freight/Delivery Services,http://www.nasdaq.com/symbol/aal,
AGNC,American Capital Agency Corp.,19.16,$6.68B,2008,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agnc,
AGNCB,American Capital Agency Corp.,24.63,$8.59B,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncb,
AGNCP,American Capital Agency Corp.,26.01,n/a,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/agncp,
MTGE,American Capital Mortgage Investment Corp.,14.86,$760.72M,2011,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtge,
MTGEP,American Capital Mortgage Investment Corp.,24.5401,$49.08M,n/a,Consumer Services,Real Estate Investment Trusts,http://www.nasdaq.com/symbol/mtgep,
ACSF,American Capital Senior Floating Ltd.,11.39,$113.9M,2014,n/a,n/a,http://www.nasdaq.com/symbol/acsf,
ACAS,American Capital Ltd.,12.43,$3.38B,1997,n/a,n/a,http://www.nasdaq.com/symbol/acas,
GNOW,American Caresource Holdings Inc,1.41,$9.51M,n/a,Health Care,Hospital/Nursing Management,http://www.nasdaq.com/symbol/gnow,
AETI,American Electric Technologies Inc.,3.32,$27.4M,n/a,Energy,Industrial Machinery/Components,http://www.nasdaq.com/symbol/aeti,
AMIC,American Independence Corp.,10.19,$82.33M,n/a,Finance,Accident &Health Insurance,http://www.nasdaq.com/symbol/amic,
AMNB,American National Bankshares Inc.,24.16,$210.11M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amnb,
ANAT,American National Insurance Company,102.15,$2.75B,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/anat,
APEI,American Public Education Inc.,23.39,$387.66M,2007,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apei,
ARII,American Railcar Industries Inc.,46.58,$994.59M,2006,Capital Goods,Railroads,http://www.nasdaq.com/symbol/arii,
AMRB,American River Bankshares,9.55,$72.29M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/amrb,
ASEI,American Science and Engineering Inc.,37.38,$267.1M,n/a,Health Care,Medical Electronics,http://www.nasdaq.com/symbol/asei,
AMSWA,American Software Inc.,10.2,$292.06M,n/a,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/amswa,
AMSC,American Superconductor Corporation,5.16,$72M,1991,Consumer Durables,Metal Fabrications,http://www.nasdaq.com/symbol/amsc,
AMWD,American Woodmark Corporation,70.86,$1.15B,1986,Basic Industries,Forest Products,http://www.nasdaq.com/symbol/amwd,
CRMT,America&#39;s Car-Mart Inc.,36.04,$305.39M,n/a,Consumer Durables,Automotive Aftermarket,http://www.nasdaq.com/symbol/crmt,
ABCB,Ameris Bancorp,28.75,$925.61M,1994,Finance,Major Banks,http://www.nasdaq.com/symbol/abcb,
AMSF,AMERISAFE Inc.,52.8,$1B,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/amsf,
ASRV,AmeriServ Financial Inc.,3.2,$60.39M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrv,
ASRVP,AmeriServ Financial Inc.,26.62,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/asrvp,
ATLO,Ames National Corporation,23.9,$222.53M,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/atlo,
AMGN,Amgen Inc.,152.61,$115.72B,1983,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),http://www.nasdaq.com/symbol/amgn,
FOLD,Amicus Therapeutics Inc.,7.04,$835.07M,2007,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/fold,
AMKR,Amkor Technology Inc.,5.29,$1.26B,1998,Technology,Semiconductors,http://www.nasdaq.com/symbol/amkr,
AMPH,Amphastar Pharmaceuticals Inc.,11.9,$539.51M,2014,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/amph,
AMSG,Amsurg Corp.,77.84,$3.77B,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsg,
AMSGP,Amsurg Corp.,147.39,$254.25M,n/a,Health Care,Medical/Nursing Services,http://www.nasdaq.com/symbol/amsgp,
ASYS,Amtech Systems Inc.,5.25,$69.04M,n/a,Technology,Industrial Machinery/Components,http://www.nasdaq.com/symbol/asys,
AFSI,AmTrust Financial Services Inc.,68.26,$5.64B,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/afsi,
AMRS,Amyris Inc.,1.79,$281.95M,2010,Basic Industries,Major Chemicals,http://www.nasdaq.com/symbol/amrs,
ANAC,Anacor Pharmaceuticals Inc.,108.53,$4.78B,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anac,
ANAD,ANADIGICS Inc.,0.26,$22.94M,1995,Technology,Semiconductors,http://www.nasdaq.com/symbol/anad,
ADI,Analog Devices Inc.,60.19,$18.88B,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/adi,
ALOG,Analogic Corporation,85.67,$1.06B,1972,Capital Goods,Electrical Products,http://www.nasdaq.com/symbol/alog,
ANCB,Anchor Bancorp,22.81,$57.71M,2011,Finance,Banks,http://www.nasdaq.com/symbol/ancb,
ABCW,Anchor BanCorp Wisconsin Inc.,42.24,$405.58M,2014,Finance,Banks,http://www.nasdaq.com/symbol/abcw,
ANGI,Angie&#39;s List Inc.,6.04,$353.44M,2011,Consumer Services,Advertising,http://www.nasdaq.com/symbol/angi,
ANGO,AngioDynamics Inc.,12.65,$458.94M,2004,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/ango,
ANIP,ANI Pharmaceuticals Inc.,41.37,$474.19M,n/a,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anip,
ANIK,Anika Therapeutics Inc.,34.57,$505.83M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/anik,
ANSS,ANSYS Inc.,92.15,$8.31B,1996,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/anss,
ATRS,Antares Pharma Inc.,1.545,$239.18M,n/a,Health Care,Medical/Dental Instruments,http://www.nasdaq.com/symbol/atrs,
ANTH,Anthera Pharmaceuticals Inc.,6.75,$268M,2010,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/anth,
ABAC,Aoxin Tianli Group Inc.,0.66,$21.9M,n/a,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/abac,
ATNY,API Technologies Corp.,2.18,$120.83M,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/atny,
APIC,Apigee Corporation,9.94,$291.84M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/apic,
APOG,Apogee Enterprises Inc.,49.68,$1.45B,n/a,Capital Goods,Auto Parts:O.E.M.,http://www.nasdaq.com/symbol/apog,
APOL,Apollo Education Group Inc.,10.34,$1.11B,1994,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/apol,
AINV,Apollo Investment Corporation,5.67,$1.34B,2004,n/a,n/a,http://www.nasdaq.com/symbol/ainv,
APPF,AppFolio Inc.,18.95,$635.31M,2015,Technology,Computer Software: Prepackaged Software,http://www.nasdaq.com/symbol/appf,
AAPL,Apple Inc.,111.04,$633.23B,1980,Technology,Computer Manufacturing,http://www.nasdaq.com/symbol/aapl,
